
> yaya-prototype@0.1.0 dev:web
> next dev

▲ Next.js 16.2.1 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://10.24.74.123:3000
- Environments: .env.local, .env
 GET / 200 in 44ms (next.js: 4ms, application-code: 40ms)
 GET / 200 in 36ms (next.js: 5ms, application-code: 31ms)
 GET / 200 in 27ms (next.js: 4ms, application-code: 24ms)
 GET / 200 in 38ms (next.js: 4ms, application-code: 34ms)
 GET / 200 in 91ms (next.js: 9ms, application-code: 82ms)
 GET / 200 in 117ms (next.js: 4ms, application-code: 112ms)
 GET / 200 in 148ms (next.js: 12ms, application-code: 136ms)
 GET / 200 in 100ms (next.js: 7ms, application-code: 93ms)
 GET / 200 in 100ms (next.js: 41ms, application-code: 59ms)
 GET / 200 in 102ms (next.js: 66ms, application-code: 37ms)
 GET / 200 in 32ms (next.js: 4ms, application-code: 27ms)
 GET / 200 in 36ms (next.js: 5ms, application-code: 31ms)
 GET / 200 in 46ms (next.js: 5ms, application-code: 41ms)
 GET / 200 in 76ms (next.js: 4ms, application-code: 73ms)
 GET / 200 in 214ms (next.js: 9ms, application-code: 206ms)
 GET / 200 in 171ms (next.js: 7ms, application-code: 164ms)
 GET / 200 in 173ms (next.js: 35ms, application-code: 138ms)
 GET / 200 in 173ms (next.js: 58ms, application-code: 115ms)
 GET / 200 in 174ms (next.js: 79ms, application-code: 95ms)
 GET / 200 in 176ms (next.js: 111ms, application-code: 65ms)
 GET / 200 in 62ms (next.js: 6ms, application-code: 57ms)
 GET / 200 in 49ms (next.js: 3ms, application-code: 46ms)
 GET / 200 in 192ms (next.js: 10ms, application-code: 182ms)
 GET / 200 in 171ms (next.js: 3ms, application-code: 168ms)
 GET / 200 in 181ms (next.js: 7ms, application-code: 175ms)
 GET / 200 in 207ms (next.js: 34ms, application-code: 173ms)
 GET / 200 in 209ms (next.js: 77ms, application-code: 133ms)
 GET / 200 in 210ms (next.js: 100ms, application-code: 110ms)
 GET / 200 in 274ms (next.js: 10ms, application-code: 265ms)
 GET / 200 in 262ms (next.js: 8ms, application-code: 255ms)
 GET / 200 in 245ms (next.js: 10ms, application-code: 235ms)
 GET / 200 in 34ms (next.js: 4ms, application-code: 30ms)
 GET / 200 in 59ms (next.js: 4ms, application-code: 55ms)
 GET / 200 in 48ms (next.js: 5ms, application-code: 43ms)
